index_df	Restaurant_id	Price Range	Cuisine Style
1435	4268	$$ - $$$	['Portuguese, European']
1439	4282	None	None
1440	4286	None	None
1446	4301	None	['Indian']
1448	4305	$	['Polish, European']
1451	4313	None	['Fast Food, Turkish']
1457	4324	None	['British, Scottish']
1458	4328	None	None
1459	4330	$$ - $$$	['European']
1462	4339	None	['Cafe']
1465	4346	$	['Fast Food']
1475	4375	None	None
1484	4393	None	None
1485	4396	None	['French']
1486	4398	None	['Japanese, Sushi, Asian']
1489	4406	$$ - $$$	['Spanish, Moroccan, Mediterranean']
1492	4414	$$ - $$$	['Lunch']
1497	4428	None	None
1499	4443	$	['Fast Food']
1500	4444	$$ - $$$	['Mediterranean, Spanish']
1503	4456	$	['Cafe']
1504	4457	$	['Dinner']
1507	4476	None	['Cafe, European, Czech']
1510	4485	None	['Indian']
1514	4492	None	['German, Diner, Gastropub']
1516	4499	$$ - $$$	['European, Croatian']
1518	4502	$	['Cafe']
1519	4503	$	['Breakfast, Lunch, Dinner']
1520	4506	$$ - $$$	['Mediterranean, Spanish']
1523	4520	None	None
1527	4535	$$ - $$$	['French']
1528	4536	$	['Moroccan, Mediterranean']
1532	4556	None	None
1534	4559	None	['Diner']
1538	4570	None	None
1549	4610	None	['Mexican, International, Contemporary']
1550	4611	None	['European, Portuguese']
1560	4637	$	['French, Moroccan, Mediterranean, European']
1562	4644	$	['Danish, Seafood, European']
1563	4649	None	['Bar, Cafe, Pub']
1564	4651	None	None
1565	4655	None	None
1566	4657	None	['Italian, Pizza']
1568	4660	None	None
1569	4661	$	['Fast Food']
1572	4667	None	['European']
1573	4671	None	None
1577	4680	None	None
1582	4688	None	['Indian']
1584	4696	None	['Pizza, Italian']
1585	4697	None	None
1592	4712	None	None
1594	4718	$$ - $$$	['Austrian, European, Central European']
1598	4731	None	['Sushi, Japanese']
1599	4732	None	None
1602	4740	None	['Seafood']
1603	4742	$	['Chinese, Asian, Vietnamese, Japanese']
1608	4758	None	None
1610	4761	None	['European, Hungarian']
1611	4762	None	None
1616	4778	None	None
1621	4788	$$ - $$$	['Tibetan, Asian']
1625	4805	None	None
1628	4811	None	['Indian']
1630	4813	$	['Spanish']
1631	4816	None	['Cafe']
1639	4841	$$ - $$$	['Sushi, Japanese']
1640	4845	$$ - $$$	['European, Central European']
1645	4863	None	None
1648	4869	None	['Pizza']
1650	4873	$	['Cafe']
1657	4885	$	['Cafe']
1658	4888	$$ - $$$	['Bar, Wine Bar, Mediterranean']
1659	4891	None	None
1660	4897	$	['Breakfast, Lunch, Dinner, Brunch']
1661	4898	None	None
1663	4901	None	['Spanish']
1664	4902	None	['International, Mediterranean, European, Greek']
1665	4903	None	['Italian, Pizza, Seafood, Mediterranean']
1666	4906	None	None
1671	4921	None	['Chinese']
1672	4922	$	['Japanese, Sushi, Asian, Chinese']
1676	4933	$	['Chinese, Asian, Filipino, Seafood']
1677	4937	None	None
1679	4941	None	None
1685	4962	$$ - $$$	['French, Bar, European, Pub']
1687	4974	$$ - $$$	['Vegetarian Friendly']
1688	4977	None	None
1689	4978	None	None
1691	4984	None	None
1693	4990	$$ - $$$	['Polish, European']
1694	4992	$	['American, Fast Food']
1696	4999	$	['Drinks, Lunch, Dinner']
1699	5005	$$ - $$$	['Japanese, Asian, Sushi']
1700	5006	$	['American, International']
1703	5015	None	['Turkish']
1705	5019	None	['Deli']
1706	5024	None	None
1707	5027	$$ - $$$	['Bar, Pub']
1711	5036	None	None
1713	5040	None	['Cafe']
1715	5049	$$ - $$$	['Cafe']
1716	5052	$	['Chinese']
1719	5055	None	None
1720	5056	$$ - $$$	['Dutch, European']
1721	5063	$$ - $$$	['Italian']
1722	5065	$	['Italian, Lombard, Northern-Italian']
1723	5066	None	['Italian, Pizza']
1730	5097	$$ - $$$	['Indian, Asian']
1731	5103	None	None
1734	5107	None	None
1737	5115	$$ - $$$	['Cafe']
1741	5127	$	['Italian']
1745	5136	None	['European']
1746	5140	None	None
1748	5148	None	None
1750	5154	None	['European']
1751	5155	$$ - $$$	['Steakhouse']
1755	5165	$$ - $$$	['Mediterranean, Spanish']
1757	5170	$$ - $$$	['French']
1758	5172	None	['Pizza']
1759	5173	$	['Vegetarian Friendly']
1761	5178	None	['French']
1766	5185	None	['Barbecue']
1771	5195	None	['Italian, French']
1781	5224	$	['Cafe, British, European']
1787	5239	$$ - $$$	['French, Bar, Cafe']
1788	5245	$	['European, Czech']
1789	5255	None	['Spanish']
1791	5263	None	None
1793	5270	None	['French']
1795	5275	$$ - $$$	['Vegetarian Friendly']
1796	5280	None	None
1797	5282	None	None
1802	5295	None	['French, American']
1803	5297	None	['Chinese']
1804	5299	$$ - $$$	['Reservations']
1809	5316	$	['Japanese, Sushi, Asian']
1810	5319	None	['Turkish, Barbecue, Middle Eastern']
1814	5329	$$ - $$$	['French']
1815	5334	$$ - $$$	['Spanish']
1817	5342	None	['Chinese, Japanese']
1818	5344	$$ - $$$	['Italian, European']
1819	5345	None	None
1820	5347	None	None
1823	5354	None	['South American, Colombian']
1825	5362	None	['European, Czech']
1828	5372	None	None
1829	5376	$	['Italian']
1832	5381	None	None
1834	5385	None	None
1837	5398	None	None
1841	5408	$	['Spanish']
1842	5411	$	['European']
1843	5412	None	None
1846	5416	None	None
1848	5424	None	None
1849	5426	$$ - $$$	['Vietnamese']
1853	5434	$$ - $$$	['Italian, Bar, Pizza, Pub']
1855	5440	$	['European, Portuguese']
1857	5448	$$ - $$$	['Indian']
1860	5457	None	None
1861	5459	$	['Breakfast, Lunch, Dinner']
1864	5463	None	None
1870	5485	None	['Cafe, Mediterranean, Spanish, Healthy']
1876	5501	$	['Cafe, British']
1877	5502	None	None
1878	5504	$$ - $$$	['Lunch, Dinner']
1883	5528	$$ - $$$	['Barbecue, European, Portuguese']
1888	5533	$$ - $$$	['Breakfast, Lunch']
1889	5535	$	['Italian, Pizza']
1892	5546	$	['Pub, European, Danish']
1894	5548	None	None
1895	5550	$	['French, Bar, Pub']
1898	5555	None	None
1899	5560	$$ - $$$	['Lunch, Dinner']
1901	5569	$$ - $$$	['German']
1903	5576	None	None
1904	5581	None	None
1911	5603	$	['Spanish, Fast Food']
1912	5604	$$ - $$$	['Lunch, Dinner']
1915	5614	$$ - $$$	['Breakfast, Lunch, Dinner']
1918	5625	None	None
1919	5628	None	None
1931	5665	$	['Lunch, Dinner']
1933	5671	$$$$	['Japanese']
1937	5680	None	['International']
1938	5681	None	['Chinese']
1940	5685	None	['Belgian, European']
1944	5697	None	['Italian, French']
1945	5698	None	None
1949	5708	None	['Cafe']
1952	5719	$$ - $$$	['Mediterranean, Spanish']
1953	5723	None	['Vegetarian Friendly']
1961	5750	$	['Cafe']
1963	5756	None	None
1966	5768	None	['Chinese']
1967	5770	None	['Italian, International']
1968	5776	None	None
1973	5782	$$ - $$$	['Spanish, Mediterranean']
1975	5787	None	['Asian, Thai']
1979	5798	None	['French']
1980	5799	None	None
1981	5802	None	['Bar, Pub']
1984	5812	None	None
1985	5813	None	['Indian']
1986	5816	$$ - $$$	['Brazilian, European, Portuguese, South American']
1987	5817	None	None
1991	5829	None	None
1992	5831	$	['European, Portuguese, Diner']
1993	5837	$	['Polish, European']
1995	5839	None	None
1997	5845	None	None
2000	5856	$$ - $$$	['German']
2001	5863	None	None
2005	5877	$	['Breakfast, Lunch, Dinner']
2008	5882	None	None
2010	5885	$$ - $$$	['Italian, Mediterranean, European']
2012	5887	None	None
2014	5891	$	['Cafe, Deli, Portuguese']
2017	5898	$	['Pizza, Italian']
2019	5901	None	None
2027	5921	None	['Indian']
2033	5941	$	['Italian, Pizza']
2034	5943	$	['Turkish']
2040	5961	None	None
2043	5967	$	['European, Portuguese']
2047	5987	$	['Pizza']
2048	5988	None	None
2052	5993	None	None
2053	5994	None	None
2055	5998	$	['Italian, Pizza, Seafood, Mediterranean']
2057	6001	None	None
2059	6004	$	['Cafe']
2060	6005	$	['European, Portuguese']
2064	6021	None	None
2066	6028	None	None
2073	6045	$	['Spanish']
2074	6050	None	['American']
2076	6066	$	['Cafe, Italian, Fast Food']
2077	6071	$	['Cafe, Healthy']
2078	6072	$$ - $$$	['Greek']
2079	6076	None	['Polish, European']
2082	6094	None	None
2086	6102	None	['Cafe, Middle Eastern']
2087	6103	None	None
2088	6107	$$$$	['Table Service']
2089	6114	$$ - $$$	['Cafe']
2100	6146	$	['European, Danish']
2101	6150	$	['Cafe']
2103	6153	$	['German, Swiss, European']
2105	6160	$	['Cafe']
2106	6166	$$ - $$$	['Dinner']
2113	6183	None	None
2115	6185	$$ - $$$	['African, European']
2119	6196	None	None
2120	6198	None	None
2124	6209	$$ - $$$	['Greek']
2131	6223	$	['Italian, European, Pizza']
2134	6233	$	['Cafe, French']
2136	6235	None	None
2140	6245	None	['International']
2141	6249	$	['Asian, Thai, Vietnamese']
2142	6250	None	None
2145	6261	$	['Cafe']
2146	6262	$$ - $$$	['Italian, Pizza']
2148	6267	None	None
2149	6271	$$ - $$$	['Italian, Wine Bar']
2156	6287	$$ - $$$	['Italian']
2157	6289	None	['Seafood, European, Croatian']
2158	6291	$$ - $$$	['Italian, Pizza']
2163	6304	$$ - $$$	['Cafe']
2164	6313	None	['Mexican']
2165	6315	None	None
2168	6327	None	['French']
2177	6341	None	None
2179	6350	None	None
2180	6351	None	['Italian']
2182	6360	$$ - $$$	['Cafe']
2188	6384	None	['European, Danish']
2193	6401	None	['Italian']
2195	6405	None	None
2196	6408	None	None
2198	6416	None	None
2202	6425	None	None
2204	6434	$	['Spanish']
2215	6460	None	['Italian']
2216	6463	None	['Japanese']
2225	6485	$	['Moroccan, Mediterranean']
2226	6486	None	['Fast Food, Turkish, Middle Eastern']
2233	6501	None	None
2236	6508	None	None
2240	6515	None	None
2242	6526	None	None
2247	6547	$$ - $$$	['Spanish']
2249	6553	$$ - $$$	['German, Mediterranean']
2253	6560	None	None
2254	6561	None	None
2259	6572	None	None
2260	6575	$$ - $$$	['Cafe']
2261	6576	$$ - $$$	['Spanish']
2263	6579	None	None
2266	6586	None	None
2269	6594	$	['Italian, Deli']
2270	6597	None	None
2275	6612	$$ - $$$	['Vegetarian Friendly, Vegan Options, Gluten Free Options']
2278	6623	None	None
2283	6648	None	None
2285	6657	None	None
2287	6660	$	['Drinks']
2288	6664	None	['European, Czech']
2289	6665	None	None
2293	6673	None	['European, Portuguese, Cafe, Street Food']
2296	6679	None	None
2297	6682	$	['Italian']
2299	6687	$	['French']
2301	6696	$$ - $$$	['Irish, Brew Pub, Pub']
2305	6701	$$ - $$$	['Asian, Vietnamese']
2308	6721	None	['Spanish, Healthy']
2309	6727	$$ - $$$	['Dutch, Seafood, European, International']
2312	6731	None	None
2314	6733	None	None
2317	6744	None	None
2320	6754	None	None
2321	6757	$	['Drinks']
2334	6782	$	['Chinese']
2335	6783	None	None
2339	6794	None	None
2347	6812	$	['Cafe']
2348	6815	None	None
2349	6824	None	None
2351	6828	None	['Bar, Spanish, Pub']
2352	6832	None	['Spanish, Bar, Pub']
2357	6841	$	['Spanish, Cafe']
2364	6856	None	None
2371	6883	$	['Japanese, Sushi, Asian']
2372	6889	$$ - $$$	['French, Bar, Cafe, Seafood, European']
2378	6902	None	['Cafe']
2381	6910	None	['Spanish']
2385	6922	None	['Italian, Mediterranean']
2386	6923	None	None
2388	6934	None	['Italian']
2390	6941	$$ - $$$	['French']
2394	6958	$	['Cafe']
2399	6966	$$ - $$$	['Belgian, European']
2400	6967	None	None
2401	6974	$	['Lunch']
2406	6989	$	['Vegetarian Friendly, Vegan Options']
2407	6990	$$ - $$$	['Italian, Mediterranean, European']
2408	6997	None	None
2411	7002	None	None
2412	7007	None	['International, Wine Bar']
2416	7022	$$ - $$$	['German']
2417	7024	None	None
2422	7032	None	['European, Czech']
2425	7037	$$ - $$$	['Spanish']
2426	7041	$$ - $$$	['Lunch, Dinner, Drinks']
2431	7055	None	None
2435	7071	$$ - $$$	['Japanese']
2436	7072	None	['Cafe']
2439	7087	$	['Cafe']
2440	7089	$$ - $$$	['Vegetarian Friendly, Gluten Free Options']
2442	7099	None	['American, Pizza']
2445	7111	$$ - $$$	['French']
2446	7112	None	None
2447	7114	$$ - $$$	['European']
2456	7143	None	None
2465	7173	$$ - $$$	['Spanish']
2466	7177	$	['Lebanese, Mediterranean, Middle Eastern']
2468	7183	None	['Asian, Thai, Chinese']
2472	7195	$	['Italian, Pizza']
2475	7206	None	None
2482	7220	None	None
2483	7221	$$ - $$$	['Italian']
2489	7246	$$ - $$$	['Bar, Barbecue, European, Pub, Central European']
2492	7249	$$ - $$$	['Japanese, Sushi, Seafood, Asian']
2494	7256	None	['Central European, Hungarian, European']
2501	7276	$	['Lebanese, Mediterranean, Middle Eastern, Fast Food']
2503	7280	None	None
2506	7285	None	None
2509	7296	$$ - $$$	['Deli']
2510	7297	$$ - $$$	['European, Swedish, Scandinavian']
2515	7308	$	['Italian, Seafood, Mediterranean']
